game_id,label,fold,home_field___h_home__ovr_wr_last_8_games,home_field___h_home__ovr_wr_ytd,home_field___v_visitor__ovr_wr_last_4_games,home_field___v_visitor__ovr_wr_last_8_games,home_field___v_visitor__ovr_wr_ytd,matchup___h_wr_past_3_seasons,rankings___h__dave_or_wtddvoa,rankings___h__defensedvoa,rankings___h__estim_winrate,rankings___h__offensedvoa,rankings___h__s_t_dvoa,rankings___v__dave_or_wtddvoa,rankings___v__defensedvoa,rankings___v__estim_winrate,rankings___v__offensedvoa,rankings___v__s_t_dvoa,team_history___h_ovr_wr_past_2_seasons,team_history___h_ovr_wr_past_3_seasons,team_history___h_ovr_wr_ytd,team_history___v_ovr_wr_past_2_seasons,team_history___v_ovr_wr_past_3_seasons,team_history___v_ovr_wr_ytd,time_date___week_id,travel___h_days_since_last_game,travel___h_travel_from_last_game_decay,travel___v_days_since_last_game,travel___v_home_body_time,travel___v_travel_from_last_game_decay,travel___v_tz_change_last_10_days,weather___humidity_pct,weather___temperature,weather___wind_chill,weather___wind_mph
200710070htx,1,4,0.5,0.5,0.0,0.0,0.0,0.5,-3.6,2.3,0.45,-2.8,10.6,-20.0,22.4,0.275,1.3,-2.7,0.5,0.5,0.5,0.0,0.0,0.0,5.0,7.0,11.73916379421038,7.0,13.0,15.622924121917773,-1.0,0.0,68.0,68.0,0.0
200811090nyj,1,2,0.75,0.625,0.25,0.25,0.25,0.5,-2.9,0.9,0.55,-1.5,0.7,-36.7,24.3,0.225,-15.7,1.3,0.375,0.375,0.625,0.20833333333333334,0.20833333333333334,0.25,10.0,7.0,5.102278507882514,7.0,12.0,16.25840917502385,1.0,46.0,53.0,53.0,14.0
200910180nor,1,0,1.0,1.0,1.0,1.0,1.0,0.5,32.7,-28.8,1.25,33.0,-2.5,37.2,-26.9,0.78,21.7,-3.2,0.6,0.5277777777777778,1.0,0.7727272727272727,0.7380952380952381,1.0,6.0,14.0,0.0,7.0,13.0,19.34174888992719,-1.0,0.0,68.0,68.0,0.0
200910250cle,0,4,0.0,0.16666666666666666,0.5,0.5,0.6,0.5,-26.7,18.3,0.26666666666666666,-26.1,13.8,19.6,-15.8,0.82,13.4,-0.3,0.22727272727272727,0.39473684210526316,0.16666666666666666,0.42857142857142855,0.5897435897435898,0.6,7.0,7.0,1.9892098294800242,7.0,12.0,7.032543750791744,1.0,45.0,50.0,50.0,12.0
200912060atl,0,4,1.0,0.5454545454545454,0.5,0.6,0.6363636363636364,0.0,-2.8,11.1,0.5,9.8,0.0,28.6,-11.0,0.6818181818181818,14.0,5.7,0.6071428571428571,0.4772727272727273,0.5454545454545454,0.6166666666666667,0.5760869565217391,0.6363636363636364,13.0,7.0,0.0,7.0,13.0,11.0901705423722,0.0,0.0,68.0,68.0,0.0
200912270cle,1,2,0.16666666666666666,0.21428571428571427,0.5,0.42857142857142855,0.35714285714285715,0.0,-23.2,21.9,0.3,-14.8,8.9,-28.8,10.5,0.2857142857142857,-21.7,1.2,0.23333333333333334,0.3695652173913043,0.21428571428571427,0.3333333333333333,0.30434782608695654,0.35714285714285715,16.0,7.0,13.018451979052662,7.0,10.0,23.38704637276798,2.0,84.0,34.0,30.0,6.0
201012260kan,1,0,1.0,0.6428571428571429,0.25,0.5,0.42857142857142855,0.0,-5.1,5.1,0.5357142857142857,11.0,-2.0,8.2,-6.6,0.5785714285714285,0.9,4.9,0.43333333333333335,0.32608695652173914,0.6428571428571429,0.4666666666666667,0.574468085106383,0.42857142857142855,16.0,7.0,4.315388488942803,7.0,12.0,8.233557098848594,0.0,77.0,19.0,10.0,7.0
201111130atl,0,3,0.6666666666666666,0.625,0.5,0.4,0.6666666666666666,0.25,18.6,-8.2,0.7375,7.6,2.6,12.9,11.5,0.6333333333333333,25.7,-1.0,0.72,0.6585365853658537,0.625,0.6538461538461539,0.7333333333333333,0.6666666666666666,10.0,7.0,6.255570415299627,7.0,12.0,6.837996272373936,1.0,0.0,68.0,68.0,0.0
201111270sea,0,3,0.5,0.4,0.25,0.2,0.3,0.5,-11.6,0.4,0.42000000000000004,-13.1,-0.4,-14.0,-2.3,0.41,-13.9,0.1,0.42857142857142855,0.38636363636363635,0.4,0.34615384615384615,0.30952380952380953,0.3,12.0,7.0,33.369099154704486,7.0,16.0,46.28967384549171,-3.0,0.0,52.0,52.0,13.0
201310200car,1,0,0.5,0.4,0.3333333333333333,0.3333333333333333,0.5,0.5,16.6,-13.8,0.62,3.6,-1.0,-15.6,8.4,0.3333333333333333,-10.5,3.9,0.42857142857142855,0.40540540540540543,0.4,0.4772727272727273,0.32894736842105265,0.5,7.0,7.0,15.777060741532303,7.0,12.0,15.576929088706793,1.0,42.0,68.0,68.0,4.0
